price,price per m,area,location
419000,4203,99.68,ul. Malarska Szczytniki wielkopolskie
399000,4901,81.41,ul. Malarska Szczytniki wielkopolskie
439000,4427,99.16,ul. Malarska Szczytniki poznański wielkopolskie
439000,4427,99.16,ul. Malarska Szczytniki wielkopolskie
629000,4585,137.2,Luboń wielkopolskie
1090000,6301,173,Poznań Nowe Miasto Szczepankowo ul. Bobrownicka
849000,7383,115,Poznań Stare Miasto Naramowice ul. Szmaragdowa
547000,5605,97.6,Dachowa wielkopolskie
699000,8128,86,Poznań wielkopolskie
650000,5000,130,Kórnicka Kostrzyn wielkopolskie
799000,5940,134.51,Przeźmierowo wielkopolskie
799000,5940,134.51,ul. Długa Wysogotowo wielkopolskie
461000,4984,92.5,Poznań Nowe Miasto
699000,8128,86,Poznań wielkopolskie
842000,6662,126.38,Poznań Nowe Miasto Rataje
842000,6662,126.38,Poznań Nowe Miasto Rataje
1950000,3333,585,ul. Żurawinowa Suchy Las wielkopolskie
2990000,8543,350,Pamiątkowo wielkopolskie
799000,8780,91,Poznań wielkopolskie
599000,4379,136.78,Szczytniki wielkopolskie
850000,6538,130,Kórnicka Kostrzyn wielkopolskie
2000000,4651,430,Poznań Grunwald Ławica Ławica
895000,3714,241,Poznań Jeżyce Podolany ul. Zakopiańska 102
3500000,9485,369,Poznań wielkopolskie
599000,6082,98.48,Głuchowo wielkopolskie
